	recetox_cid	iupac_inchi	smiles
149	178	InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)	OC(=O)CC(=CC(=O)O)C(=O)O
150	179	InChI=1S/C6H6O4/c7-5(8)3-1-2-4-6(9)10/h1-4H,(H,7,8)(H,9,10)	OC(=O)C=CC=CC(=O)O
151	180	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	OC(=O)C(CC(=O)O)(CC(=O)O)O
152	183	InChI=1S/C36H44N4O8/c1-17-21(5-9-33(41)42)29-14-27-19(3)22(6-10-34(43)44)30(39-27)15-28-20(4)24(8-12-36(47)48)32(40-28)16-31-23(7-11-35(45)46)18(2)26(38-31)13-25(17)37-29/h37-40H,5-16H2,1-4H3,(H,41,42)(H,43,44)(H,45,46)(H,47,48)	OC(=O)CCc1c2Cc3[nH]c(c(c3C)CCC(=O)O)Cc3[nH]c(Cc4[nH]c(Cc(c1C)[nH]2)c(CCC(=O)O)c4C)c(c3CCC(=O)O)C
153	184	InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)	OC(=O)C=Cc1ccc(cc1)O
154	185	InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H	O=c1ccc2c(o1)cccc2
155	186	InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-6,8,11H,7H2,1-2H3	OCc1ccc(cc1)C(C)C
156	187	InChI=1S/C10H12O/c1-8(2)10-5-3-9(7-11)4-6-10/h3-8H,1-2H3	O=Cc1ccc(cc1)C(C)C
157	188	InChI=1S/C8H8O4/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,7,9-10H,(H,11,12)	OC(=O)C(c1ccc(cc1)O)O
158	189	InChI=1S/C6H13O7PS/c1-15-3-5(8)6(9)4(7)2-13-14(10,11)12/h5-6,8-9H,2-3H2,1H3,(H2,10,11,12)	CSCC(C(C(=O)COP(=O)(O)O)O)O
159	190	InChI=1S/C9H10O2/c1-3-7-4-5-8(10)9(6-7)11-2/h3-6,10H,1H2,2H3	COc1cc(C=C)ccc1O
160	191	InChI=1S/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3	Cc1ccccc1O
161	192	InChI=1S/C3H6N2O4/c4-3(9)5-1(6)2(7)8/h1,6H,(H,7,8)(H3,4,5,9)	OC(=N)NC(C(=O)O)O
162	193	InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)	OC(=O)c1ccccc1O
163	194	InChI=1S/C2H8NO3P/c3-1-2-7(4,5)6/h1-3H2,(H2,4,5,6)	NCCP(=O)(O)O
164	195	InChI=1S/C7H8O2/c1-5-3-2-4-6(8)7(5)9/h2-4,8-9H,1H3	Oc1c(C)cccc1O
165	196	InChI=1S/C14H10O9/c15-7-2-6(3-8(16)11(7)18)14(22)23-10-4-5(13(20)21)1-9(17)12(10)19/h1-4,15-19H,(H,20,21)	O=C(c1cc(O)c(c(c1)O)O)Oc1cc(cc(c1O)O)C(=O)O
166	197	InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3	Cc1cccc(c1)O
167	198	InChI=1S/C12H16O7/c13-5-8-9(15)10(16)11(17)12(19-8)18-7-3-1-6(14)2-4-7/h1-4,8-17H,5H2	OCC1OC(Oc2ccc(cc2)O)C(C(C1O)O)O
168	199	InChI=1S/C7H8O5/c8-5(7(11)12)3-1-2-4-6(9)10/h1,3H,2,4H2,(H,9,10)(H,11,12)	OC(=O)CCC=CC(=O)C(=O)O
169	200	InChI=1S/C8H6O4/c9-6-3-1-5(2-4-6)7(10)8(11)12/h1-4,9H,(H,11,12)	Oc1ccc(cc1)C(=O)C(=O)O
170	201	InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3	CCCCCCCC
171	202	InChI=1S/C6H4Cl4/c7-3-1-4(8)6(10)2-5(3)9/h1-3,6H	ClC1=CC(Cl)C(=CC1Cl)Cl
172	203	InChI=1S/C6H6O3/c7-4-1-5(8)3-6(9)2-4/h1-3,7-9H	Oc1cc(O)cc(c1)O
173	204	InChI=1S/C6H8O3/c7-4-1-5(8)3-6(9)2-4/h1,6-7,9H,2-3H2	OC1CC(=CC(=O)C1)O
174	205	InChI=1S/C10H10O2/c11-9-6-5-7-3-1-2-4-8(7)10(9)12/h1-6,9-12H	OC1C=Cc2c(C1O)cccc2
175	207	InChI=1S/C3H8N2O2/c4-1-2(5)3(6)7/h2H,1,4-5H2,(H,6,7)	NC(C(=O)O)CN
176	208	InChI=1S/C12H10O4/c1-7-5-12(14)16-11-6-9(15-8(2)13)3-4-10(7)11/h3-6H,1-2H3	CC(=O)Oc1ccc2c(c1)oc(=O)cc2C
177	209	InChI=1S/C8H21N3/c9-5-1-3-7-11-8-4-2-6-10/h11H,1-10H2	NCCCCNCCCCN
178	210	InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)	OC(=O)c1cc(O)c(c(c1)O)O
179	211	InChI=1S/C4H2O4/c5-3(6)1-2-4(7)8/h(H,5,6)(H,7,8)	OC(=O)C#CC(=O)O
180	212	InChI=1S/C7H4O6/c8-5-2-3(6(9)10)1-4(13-5)7(11)12/h1-2H,(H,9,10)(H,11,12)	O=c1cc(cc(o1)C(=O)O)C(=O)O
181	213	InChI=1S/C6H10O4/c1-4(7)2-5(8)3-6(9)10/h5,8H,2-3H2,1H3,(H,9,10)	CC(=O)CC(CC(=O)O)O
182	214	InChI=1S/C6H6NO6P/c8-7(9)5-1-3-6(4-2-5)13-14(10,11)12/h1-4H,(H2,10,11,12)	O=N(=O)c1ccc(cc1)OP(=O)(O)O
183	215	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	CCCCCCCC(=O)O
184	216	InChI=1S/C29H50N7O17P3S/c1-4-5-6-7-8-9-20(38)57-13-12-31-19(37)10-11-32-27(41)24(40)29(2,3)15-50-56(47,48)53-55(45,46)49-14-18-23(52-54(42,43)44)22(39)28(51-18)36-17-35-21-25(30)33-16-34-26(21)36/h16-18,22-24,28,39-40H,4-15H2,1-3H3,(H,31,37)(H,32,41)(H,45,46)(H,47,48)(H2,30,33,34)(H2,42,43,44)	CCCCCCCC(=O)SCCN=C(CCN=C(C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)O)O
185	217	InChI=1S/C7H12O4/c8-6(9)4-2-1-3-5-7(10)11/h1-5H2,(H,8,9)(H,10,11)	OC(=O)CCCCCC(=O)O
186	218	InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)	NC(C(=O)O)CCCN
187	219	InChI=1S/C10H10N2O/c11-10(13)5-7-6-12-9-4-2-1-3-8(7)9/h1-4,6,12H,5H2,(H2,11,13)	OC(=N)Cc1c[nH]c2c1cccc2
188	220	InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3	CC(N(=O)=O)C
189	221	InChI=1S/C7H6O6/c8-5(9)2-1-4(7(12)13)3-6(10)11/h1-3H,(H,8,9)(H,10,11)(H,12,13)	OC(=O)C=CC(=CC(=O)O)C(=O)O
190	222	InChI=1S/C8H7NO2/c10-5-7-3-1-2-4-8(7)9-6-11/h1-6H,(H,9,11)	OC=Nc1ccccc1C=O
191	223	InChI=1S/C3H6N2O2/c4-2-1-7-5-3(2)6/h2H,1,4H2,(H,5,6)	NC1CON=C1O
192	225	InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2	Nc1ccc(cc1)O
193	228	InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3	O=C1CCC(N1C)c1cccnc1
194	229	InChI=1S/C10H14N2O/c1-12(13)7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3	CN1(=O)CCCC1c1cccnc1
195	230	InChI=1S/C9H12N2/c1-3-8(7-10-5-1)9-4-2-6-11-9/h1,3,5,7,9,11H,2,4,6H2	C1CNC(C1)c1cccnc1
196	231	InChI=1S/C9H10N2O/c12-9-4-3-8(11-9)7-2-1-5-10-6-7/h1-2,5-6,8H,3-4H2,(H,11,12)	OC1=NC(CC1)c1cccnc1
197	232	InChI=1S/C6H5ClO4/c7-4(3-6(10)11)1-2-5(8)9/h1-3H,(H,8,9)(H,10,11)	OC(=O)C=CC(=CC(=O)O)Cl
198	233	InChI=1S/C6H8O2/c7-5-3-1-2-4-6(5)8/h1-8H	OC1C=CC=CC1O
199	234	InChI=1S/C6H6O5/c7-4(3-6(10)11)1-2-5(8)9/h1-2H,3H2,(H,8,9)(H,10,11)	OC(=O)C=CC(=O)CC(=O)O
200	235	InChI=1S/C8H16O2S2/c9-8(10)4-2-1-3-7(12)5-6-11/h7,11-12H,1-6H2,(H,9,10)	SCCC(CCCCC(=O)O)S
201	236	InChI=1S/C6H13O10P/c7-2(1-16-17(13,14)15)3(8)4(9)5(10)6(11)12/h2-5,7-10H,1H2,(H,11,12)(H2,13,14,15)	OC(C(C(C(C(=O)O)O)O)O)COP(=O)(O)O
202	237	InChI=1S/C5H9NO3/c1-3(7)2-4(6)5(8)9/h4H,2,6H2,1H3,(H,8,9)	CC(=O)CC(C(=O)O)N
203	238	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	OC(=O)CC(C(=O)O)N
204	240	InChI=1S/C11H17N2/c1-12-7-3-5-10(9-12)11-6-4-8-13(11)2/h3,5,7,9,11H,4,6,8H2,1-2H3/q+1	CN1[CH]C=CC(=C1)C1CCCN1C
205	241	InChI=1S/C10H13N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6-8,10H,3,5H2,1H3/q+1	CN1[CH]CCC1c1cccnc1
206	242	InChI=1S/C10H14N2O/c1-11-6-3-5-10(13)9-4-2-7-12-8-9/h2,4,7-8,11H,3,5-6H2,1H3	CNCCCC(=O)c1cccnc1
207	243	InChI=1S/C9H10N2O2/c10-9(13)4-3-8(12)7-2-1-5-11-6-7/h1-2,5-6H,3-4H2,(H2,10,13)	OC(=N)CCC(=O)c1cccnc1
208	244	InChI=1S/C10H12N2O2/c1-11-10(14)5-4-9(13)8-3-2-6-12-7-8/h2-3,6-7H,4-5H2,1H3,(H,11,14)	CN=C(CCC(=O)c1cccnc1)O
209	245	InChI=1S/C9H9NO3/c11-8(3-4-9(12)13)7-2-1-5-10-6-7/h1-2,5-6H,3-4H2,(H,12,13)	OC(=O)CCC(=O)c1cccnc1
210	246	InChI=1S/C9H11NO3/c11-8(3-4-9(12)13)7-2-1-5-10-6-7/h1-2,5-6,8,11H,3-4H2,(H,12,13)	OC(=O)CCC(c1cccnc1)O
211	247	InChI=1S/C4H8O3/c1-3(5)2-4(6)7/h3,5H,2H2,1H3,(H,6,7)	CC(CC(=O)O)O
212	248	InChI=1S/C13H18ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,15H,1-4H3	Clc1cccc(c1)C(=O)C(NC(C)(C)C)C
213	249	InChI=1S/C13H20ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,12,15-16H,1-4H3	CC(C(c1cccc(c1)Cl)O)NC(C)(C)C
214	250	InChI=1S/C13H18ClNO2/c1-9(15-13(2,3)8-16)12(17)10-5-4-6-11(14)7-10/h4-7,9,15-16H,8H2,1-3H3	OCC(NC(C(=O)c1cccc(c1)Cl)C)(C)C
215	251	InChI=1S/C7H5ClO2/c8-6-3-1-2-5(4-6)7(9)10/h1-4H,(H,9,10)	Clc1cccc(c1)C(=O)O
216	252	InChI=1S/C9H8ClNO3/c10-7-3-1-2-6(4-7)9(14)11-5-8(12)13/h1-4H,5H2,(H,11,14)(H,12,13)	OC(=O)CN=C(c1cccc(c1)Cl)O
217	253	InChI=1S/C6H12O4/c1-6(10,2-3-7)4-5(8)9/h7,10H,2-4H2,1H3,(H,8,9)	OCCC(CC(=O)O)(O)C
218	254	InChI=1S/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3	CCCCCCCC=O
219	255	InChI=1S/C3H4N2O4/c4-3(9)5-1(6)2(7)8/h(H,7,8)(H3,4,5,6,9)	OC(=N)N=C(C(=O)O)O
220	256	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1	C[n+]1cccc(c1)C(=N)[O-]
221	257	InChI=1S/C6H13NO2S/c1-10(2)4-3-5(7)6(8)9/h5H,3-4,7H2,1-2H3/p+1	NC(C(=O)[O-])CC[S+](C)C
222	258	InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3	COc1ccccc1O
223	259	InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3	CCCCCCCCCCCCCCCC(=O)OC(C[N+](C)(C)C)CC(=O)[O-]
224	260	InChI=1S/C10H18N4O5/c11-10(12)13-5-1-2-6(9(18)19)14-7(15)3-4-8(16)17/h6H,1-5H2,(H,14,15)(H,16,17)(H,18,19)(H4,11,12,13)	NC(=N)NCCCC(C(=O)O)N=C(CCC(=O)O)O
225	261	InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)	OC(=NCC(=O)O)c1ccccc1
226	262	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	OC(=O)CCCC(C(=O)O)N
227	263	InChI=1S/C4H10N2O2/c5-2-1-3(6)4(7)8/h3H,1-2,5-6H2,(H,7,8)	NC(C(=O)O)CCN
228	264	InChI=1S/C15H12O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,14-19,21H	Oc1cc2OC(c3ccc(c(c3)O)O)C(C(=O)c2c(c1)O)O
229	265	InChI=1S/C10H9NO4/c11-7-4-2-1-3-6(7)8(12)5-9(13)10(14)15/h1-4H,5,11H2,(H,14,15)	OC(=O)C(=O)CC(=O)c1ccccc1N
230	266	InChI=1S/C5H8O3S/c1-9-3-2-4(6)5(7)8/h2-3H2,1H3,(H,7,8)	CSCCC(=O)C(=O)O
231	267	InChI=1S/C11H22N2O4S/c1-11(2,7-14)9(16)10(17)13-4-3-8(15)12-5-6-18/h9,14,16,18H,3-7H2,1-2H3,(H,12,15)(H,13,17)	SCCN=C(CCN=C(C(C(CO)(C)C)O)O)O
232	268	InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)	Nc1cnc[nH]1
233	269	InChI=1S/C5H13NO4S/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3	O=[S-](=O)(=O)OCC[N+](C)(C)C
234	270	InChI=1S/C5H13NO4S/c1-6(2,3)4-5-10-11(7,8)9/h4-5H2,1-3H3/p+1	O=[S-](=O)(=O)OCC[N+](C)(C)C
235	271	InChI=1S/C4H6O4/c1-2(3(5)6)4(7)8/h2H,1H3,(H,5,6)(H,7,8)	CC(C(=O)O)C(=O)O
236	272	InChI=1S/C11H17N3O7S/c12-6(11(20)21)1-2-8(16)14-7(4-22-5-15)10(19)13-3-9(17)18/h5-7H,1-4,12H2,(H,13,19)(H,14,16)(H,17,18)(H,20,21)	O=CSCC(C(=NCC(=O)O)O)N=C(CCC(C(=O)O)N)O
237	273	InChI=1S/C2H5O4P/c3-1-2-7(4,5)6/h1H,2H2,(H2,4,5,6)	O=CCP(=O)(O)O
238	276	InChI=1S/C21H35N9O15P2/c22-8(20(35)36)2-1-3-25-21(24)29-18-14(33)12(31)9(43-18)4-41-46(37,38)45-47(39,40)42-5-10-13(32)15(34)19(44-10)30-7-28-11-16(23)26-6-27-17(11)30/h6-10,12-15,18-19,31-34H,1-5,22H2,(H,35,36)(H,37,38)(H,39,40)(H2,23,26,27)(H3,24,25,29)	N=C(NC1OC(C(C1O)O)COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)O)O)NCCCC(C(=O)O)N
239	277	InChI=1S/C9H21N3O/c1-9(13)12-8-4-7-11-6-3-2-5-10/h11H,2-8,10H2,1H3,(H,12,13)	NCCCCNCCCN=C(O)C
240	278	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)	OC(=O)C1CCC(=N1)O
241	279	InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)	NC(=N)NCCCC(=O)O
242	280	InChI=1S/C5H13N3O/c6-3-1-2-4-8-5(7)9/h1-4,6H2,(H3,7,8,9)	NCCCCNC(=N)O
243	281	InChI=1S/C3H4N2O/c6-3-1-4-2-5-3/h2H,1H2,(H,4,5,6)	OC1=NC=NC1
244	283	InChI=1S/C12H19N4O10P3S/c1-8-11(30-7-16(8)6-10-5-14-9(2)15-12(10)13)3-4-24-28(20,21)26-29(22,23)25-27(17,18)19/h5,7H,3-4,6H2,1-2H3,(H5-,13,14,15,17,18,19,20,21,22,23)/p+1	Cc1[n+](csc1CCOP(=O)(OP(=O)(OP(=O)(O)O)[O-])O)Cc1cnc([nH]c1=N)C
245	284	InChI=1S/C12H10O4/c13-10(9-5-2-1-3-6-9)7-4-8-11(14)12(15)16/h1-6,8H,7H2,(H,15,16)	O=C(c1ccccc1)CC=CC(=O)C(=O)O
246	285	InChI=1S/C7H10O7/c1-7(14,6(12)13)3(5(10)11)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)	OC(=O)CC(C(C(=O)O)(O)C)C(=O)O
247	286	InChI=1S/C7H10O7/c1-3(5(10)11)7(14,6(12)13)2-4(8)9/h3,14H,2H2,1H3,(H,8,9)(H,10,11)(H,12,13)	OC(=O)CC(C(C(=O)O)C)(C(=O)O)O
248	287	InChI=1S/C5H6O4/c6-3-1-2-4(7)5(8)9/h3H,1-2H2,(H,8,9)	O=CCCC(=O)C(=O)O
249	288	InChI=1S/C4H4O6/c5-1(3(7)8)2(6)4(9)10/h1,5H,(H,7,8)(H,9,10)	OC(=O)C(=O)C(C(=O)O)O
250	289	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	OC(=O)CC(C(=O)O)O
251	291	InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)	CC(=O)OCCC(C(=O)O)N
252	292	InChI=1S/C2H5O6P/c3-2(4)1-8-9(5,6)7/h1H2,(H,3,4)(H2,5,6,7)	OC(=O)COP(=O)(O)O
253	294	InChI=1S/C4H7NO2/c5-4(1-2-4)3(6)7/h1-2,5H2,(H,6,7)	OC(=O)C1(N)CC1
254	296	InChI=1S/C7H5NO3/c9-5-6-1-3-7(4-2-6)8(10)11/h1-5H	O=Cc1ccc(cc1)N(=O)=O
255	297	InChI=1S/C6H6O4/c7-5(8)3-4-1-2-6(9)10-4/h1-2,4H,3H2,(H,7,8)	OC(=O)CC1C=CC(=O)O1
256	298	InChI=1S/C7H6O6/c8-4(9)3-7(6(11)12)2-1-5(10)13-7/h1-2H,3H2,(H,8,9)(H,11,12)	OC(=O)CC1(C=CC(=O)O1)C(=O)O
257	301	InChI=1S/C2H5O5P/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H2,5,6,7)	OC(=O)CP(=O)(O)O
258	302	InChI=1S/C8H8O4/c9-6-2-1-5(3-7(6)10)4-8(11)12/h1-3,9-10H,4H2,(H,11,12)	OC(=O)Cc1ccc(c(c1)O)O
259	303	InChI=1S/C8H8O7/c9-5(8(14)15)2-1-4(7(12)13)3-6(10)11/h1-2,4H,3H2,(H,10,11)(H,12,13)(H,14,15)	OC(=O)CC(C(=O)O)C=CC(=O)C(=O)O
260	304	InChI=1S/C7H10O6/c8-4(1-2-6(10)11)3-5(9)7(12)13/h4,8H,1-3H2,(H,10,11)(H,12,13)	OC(CC(=O)C(=O)O)CCC(=O)O
261	305	InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3	[O-]C(=O)C1CCC[N+]1(C)C
262	306	InChI=1S/C6H11NO2/c1-7-4-2-3-5(7)6(8)9/h5H,2-4H2,1H3,(H,8,9)	CN1CCCC1C(=O)O
263	307	InChI=1S/C6H11N3O3/c7-6(8)9-3-1-2-4(10)5(11)12/h1-3H2,(H,11,12)(H4,7,8,9)	NC(=N)NCCCC(=O)C(=O)O
264	308	InChI=1S/C5H11N3O/c6-5(7)8-3-1-2-4-9/h4H,1-3H2,(H4,6,7,8)	O=CCCCNC(=N)N
265	309	InChI=1S/C6H11O6PS/c1-14-3-2-5(7)6(8)4-12-13(9,10)11/h2-4H2,1H3,(H2,9,10,11)	CSCCC(=O)C(=O)COP(=O)(O)O
266	310	InChI=1S/C6H10O3S/c1-10-3-2-5(8)6(9)4-7/h4,7,9H,2-3H2,1H3	CSCCC(=O)C(=CO)O
267	311	InChI=1S/C4H8O2S/c1-7-3-2-4(5)6/h2-3H2,1H3,(H,5,6)	CSCCC(=O)O
268	312	InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)	NCCCCCC(=O)O
269	313	InChI=1S/C6H5.Hg/c1-2-4-6-5-3-1;/h1-5H;	C1=[C]C=CC=C1
270	314	InChI=1S/C12H8O/c1-3-7-11-9(5-1)10-6-2-4-8-12(10)13-11/h1-8H	c1ccc2c(c1)oc1c2cccc1
271	315	InChI=1S/C12H10O3/c13-10-6-2-1-4-8(10)9-5-3-7-11(14)12(9)15/h1-7,13-15H	Oc1ccccc1c1cccc(c1O)O
272	316	InChI=1S/C12H21NO4S2/c13-10(14)4-2-1-3-9(7-8-18)19-12(17)6-5-11(15)16/h9,18H,1-8H2,(H2,13,14)(H,15,16)	SCCC(SC(=O)CCC(=O)O)CCCCC(=N)O
273	317	InChI=1S/C4H10NO5P/c6-4-5(7)2-1-3-11(8,9)10/h4,7H,1-3H2,(H2,8,9,10)	O=CN(CCCP(=O)(O)O)O
274	318	InChI=1S/C5H9NO3S/c1-3(7)6-4(2-10)5(8)9/h4,10H,2H2,1H3,(H,6,7)(H,8,9)	SCC(C(=O)O)N=C(O)C
275	319	InChI=1S/C11H15N2O/c1-12-7-3-4-9(8-12)10-5-6-11(14)13(10)2/h3-4,7-8,10H,5-6H2,1-2H3/q+1	CN1[CH]C=CC(=C1)C1CCC(=O)N1C
276	320	InChI=1S/C10H8O4/c11-9(12)10(13)6-5-7-3-1-2-4-8(7)14-10/h1-6,13H,(H,11,12)	OC(=O)C1(O)C=Cc2c(O1)cccc2
277	321	InChI=1S/C4H9N3O2/c1-7(4(5)6)2-3(8)9/h2H2,1H3,(H3,5,6)(H,8,9)	OC(=O)CN(C(=N)N)C
278	322	InChI=1S/C4H10N3O5P/c1-7(2-3(8)9)4(5)6-13(10,11)12/h2H2,1H3,(H,8,9)(H4,5,6,10,11,12)	OC(=O)CN(C(=N)NP(=O)(O)O)C
279	323	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	OC1=NC(=N)N(C1)C
280	324	InChI=1S/C7H13NO2/c1-8(2,3)6-4-5-7(9)10/h4-5H,6H2,1-3H3	[O-]C(=O)C=CC[N+](C)(C)C
281	325	InChI=1S/C7H13NO2/c1-8(2,3)6-4-5-7(9)10/h4-5H,6H2,1-3H3/p+1	[O-]C(=O)C=CC[N+](C)(C)C
282	326	InChI=1S/C25H40N7O17P3S/c1-4-5-16(34)53-9-8-27-15(33)6-7-28-23(37)20(36)25(2,3)11-46-52(43,44)49-51(41,42)45-10-14-19(48-50(38,39)40)18(35)24(47-14)32-13-31-17-21(26)29-12-30-22(17)32/h4-5,12-14,18-20,24,35-36H,6-11H2,1-3H3,(H,27,33)(H,28,37)(H,41,42)(H,43,44)(H2,26,29,30)(H2,38,39,40)	CC=CC(=O)SCCN=C(CCN=C(C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)O)O
283	327	InChI=1S/C9H16N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H2,10,11,15)(H2,16,17,18)	OC1C(COP(=O)(OP(=O)(OP(=O)(O)O)O)O)OC(C1O)n1ccc(=N)nc1O
284	328	InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)	NC(C(=O)O)CS
285	329	InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)	NC(C(=O)O)CSSCC(C(=O)O)N
286	330	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)	Oc1nccc(=N)[nH]1
287	331	InChI=1S/C2H6O3S2/c3-7(4,5)2-1-6/h6H,1-2H2,(H,3,4,5)	SCCS(=O)(=O)O
288	332	InChI=1S/C5H6O6/c6-2(4(8)9)1-3(7)5(10)11/h2,6H,1H2,(H,8,9)(H,10,11)	OC(C(=O)O)CC(=O)C(=O)O
289	333	InChI=1S/C6H11O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-5,7-9H,1H2,(H2,11,12,13)	OC1C(COP(=O)(O)O)OC(=O)C(C1O)O
290	334	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)	CC(C(=O)O)N
291	335	InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)	OCC(C(C(C(C(=O)O)O)O)O)O
292	336	InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)	OC1OC(C(=O)O)C(C(C1O)O)O
293	337	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	OC(=O)CCC(C(=O)O)N
294	338	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)	OC(=O)C(O)C
295	339	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)	OC(=O)C1CCCN1
296	340	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)	OCC(C(=O)O)N
297	341	InChI=1S/C6H15O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3-11H,1-2H2,(H2,12,13,14)	OCC(C(C(C(COP(=O)(O)O)O)O)O)O
298	342	InChI=1S/C18H37NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-18(21)17(19)16-20/h17,20H,2-16,19H2,1H3	CCCCCCCCCCCCCCCC(=O)C(CO)N
